LEA Code,LEA Name,School Code,School Name,School Type,Ward,Accountability Framework,Framework Weight,Framework Points Earned,Framework Points Possible,Framework STAR Score,Framework STAR Rating,School Year
120,Friendship PCS,362,Friendship PCS - Blow Pierce Middle School,Charter,7,Middle School,52,68,95,71,4,2019
120,Friendship PCS,363,Friendship PCS - Chamberlain Elementary School,Charter,6,Elementary School with Pre-Kindergarten,100,40,85,47,3,2019
120,Friendship PCS,364,Friendship PCS - Chamberlain Middle School,Charter,6,Elementary School without Pre-Kindergarten,38,36,95,38,2,2019
120,Friendship PCS,364,Friendship PCS - Chamberlain Middle School,Charter,6,Middle School,62,44,95,47,3,2019
120,Friendship PCS,365,Friendship PCS - Woodridge Elementary School,Charter,5,Elementary School with Pre-Kindergarten,100,60,85,71,4,2019
120,Friendship PCS,366,Friendship PCS - Woodridge Middle School,Charter,5,Elementary School without Pre-Kindergarten,38,54,85,64,4,2019
120,Friendship PCS,366,Friendship PCS - Woodridge Middle School,Charter,5,Middle School,62,83,95,87,5,2019
121,Hope Community PCS,114,Hope Community PCS - Tolson,Charter,5,Elementary School with Pre-Kindergarten,51,36,100,36,2,2019
121,Hope Community PCS,114,Hope Community PCS - Tolson,Charter,5,Middle School,49,50,95,53,3,2019
121,Hope Community PCS,131,Hope Community PCS - Lamond,Charter,4,Elementary School with Pre-Kindergarten,100,41,100,41,3,2019
124,Howard University Middle School of Mathematics and Science PCS,115,Howard University Middle School of Mathematics and Science PCS,Charter,1,Middle School,100,37,95,39,2,2019
125,Perry Street Preparatory PCS,161,Perry Street Preparatory PCS,Charter,5,Elementary School with Pre-Kindergarten,55,46,95,48,3,2019
125,Perry Street Preparatory PCS,161,Perry Street Preparatory PCS,Charter,5,Middle School,45,66,95,70,4,2019
126,IDEA PCS,163,IDEA PCS,Charter,7,High School,100,41,95,43,3,2019
127,Ideal Academy PCS,134,Ideal Academy PCS,Charter,4,Elementary School with Pre-Kindergarten,56,9,85,10,1,2019
127,Ideal Academy PCS,134,Ideal Academy PCS,Charter,4,Middle School,44,23,95,24,2,2019
129,KIPP DC PCS,1121,KIPP DC - Promise Academy PCS,Charter,7,Elementary School without Pre-Kindergarten,100,80,95,84,5,2019
129,KIPP DC PCS,1123,KIPP DC - College Preparatory Academy PCS,Charter,5,High School,100,66,95,69,4,2019
129,KIPP DC PCS,116,KIPP DC - AIM Academy PCS,Charter,8,Middle School,100,58,95,61,4,2019
129,KIPP DC PCS,121,KIPP DC - WILL Academy PCS,Charter,6,Middle School,100,64,95,67,4,2019
129,KIPP DC PCS,189,KIPP DC - KEY Academy PCS,Charter,7,Middle School,100,51,95,54,3,2019
129,KIPP DC PCS,190,KIPP DC - Lead Academy PCS,Charter,6,Elementary School without Pre-Kindergarten,100,45,95,47,3,2019
129,KIPP DC PCS,214,KIPP DC - Spring Academy PCS,Charter,5,Elementary School without Pre-Kindergarten,100,53,95,55,3,2019
129,KIPP DC PCS,237,KIPP DC - Quest Academy PCS,Charter,7,Elementary School without Pre-Kindergarten,100,62,95,65,4,2019
129,KIPP DC PCS,242,KIPP DC - Northeast Academy PCS,Charter,5,Middle School,100,32,95,34,2,2019
129,KIPP DC PCS,243,KIPP DC - Valor Academy PCS,Charter,7,Middle School,100,41,95,43,3,2019
129,KIPP DC PCS,3071,KIPP DC - Heights Academy PCS,Charter,8,Elementary School without Pre-Kindergarten,100,56,95,59,3,2019
130,Latin American Montessori Bilingual PCS,193,Latin American Montessori Bilingual PCS,Charter,4,Elementary School with Pre-Kindergarten,100,72,100,72,4,2019
132,Mary McLeod Bethune Day Academy PCS,135,Mary McLeod Bethune Day Academy PCS,Charter,5,Elementary School with Pre-Kindergarten,61,31,85,36,2,2019
132,Mary McLeod Bethune Day Academy PCS,135,Mary McLeod Bethune Day Academy PCS,Charter,5,Middle School,39,46,95,49,3,2019
133,Maya Angelou PCS,101,Maya Angelou PCS - High School,Charter (Alternative),7,Alternative Framework,100,37,65,57,3,2019
135,Meridian PCS,165,Meridian PCS,Charter,1,Elementary School with Pre-Kindergarten,61,35,100,35,2,2019
135,Meridian PCS,165,Meridian PCS,Charter,1,Middle School,39,47,100,47,3,2019
138,Paul PCS,170,Paul PCS - Middle School,Charter,4,Middle School,100,51,100,51,3,2019
138,Paul PCS,222,Paul PCS - International High School,Charter,4,High School,100,51,100,51,3,2019
140,Roots PCS,173,Roots PCS,Charter,4,Elementary School with Pre-Kindergarten,100,29,85,34,2,2019
