LEA_Code,LEA_Name,School_Code,School_Name,School_Type,Ward,STAR_Score,STAR_Rating,ObjectId
1,District of Columbia Public Schools,467,Dunbar High School,DCPS,5,26.57,2,50
1,District of Columbia Public Schools,471,Duke Ellington School of the Arts,DCPS,2,72.66,4,48
1,District of Columbia Public Schools,474,Washington Metropolitan High School,DCPS (Alternative),1,24.88,2,4
1,District of Columbia Public Schools,478,"Phelps Architecture, Construction and Engineering High School",DCPS,5,44.7,3,125
1,District of Columbia Public Schools,884,Luke C. Moore High School,DCPS (Alternative),5,29.69,2,109
155,Achievement Preparatory Academy PCS,1100,Achievement Preparatory Academy PCS - Wahler Place Middle School,Charter,8,33.69,2,174
156,Center City PCS,1103,Center City PCS - Brightwood,Charter,4,73.76,4,175
156,Center City PCS,1104,Center City PCS - Capitol Hill,Charter,6,37.42,2,176
156,Center City PCS,1105,Center City PCS - Congress Heights,Charter,8,63.97,4,177
156,Center City PCS,1106,Center City PCS - Petworth,Charter,4,58.58,3,178
156,Center City PCS,1107,Center City PCS - Shaw,Charter,6,48.65,3,179
156,Center City PCS,1108,Center City PCS - Trinidad,Charter,5,20.79,2,180
115,DC Prep PCS,1110,DC Prep PCS - Benning Elementary School,Charter,7,63.92,4,37
158,Excel Academy PCS,1113,Excel Academy PCS,Charter,8,22.99,2,181
160,Washington Yu Ying PCS,1117,Washington Yu Ying PCS,Charter,5,91.19,5,182
151,Washington Latin PCS,1118,Washington Latin PCS - Upper School,Charter,4,90.89,5,170
163,National Collegiate Preparatory PCHS,1120,National Collegiate Preparatory PCHS,Charter,8,19.69,1,183
129,KIPP DC PCS,1121,KIPP DC - Promise Academy PCS,Charter,7,74.74,4,94
129,KIPP DC PCS,1123,KIPP DC - College Preparatory Academy PCS,Charter,5,57.18,3,89
120,Friendship PCS,1124,Friendship PCS - Technology Preparatory Middle School,Charter,8,30.91,2,73
117,Eagle Academy PCS,1125,Eagle Academy PCS - Capitol Riverfront,Charter,6,30.3,2,49
116,E.L. Haynes PCS,1138,E.L. Haynes PCS - High School,Charter,4,55.47,3,46
120,Friendship PCS,1164,Friendship PCS - Technology Preparatory High School,Charter,8,56.55,3,71
116,E.L. Haynes PCS,1206,E.L. Haynes PCS - Elementary School,Charter,4,68.38,4,45
108,Capital City PCS,1207,Capital City PCS - High School,Charter,4,61.74,4,21
165,Inspired Teaching Demonstration PCS,3064,Inspired Teaching Demonstration PCS,Charter,5,64.23,4,184
171,Mundo Verde Bilingual PCS,3065,Mundo Verde Bilingual PCS,Charter,5,67.22,4,190
166,Shining Stars Montessori Academy PCS,3066,Shining Stars Montessori Academy PCS,Charter,5,54.23,3,185
167,Richard Wright PCS for Journalism and Media Arts,3067,Richard Wright PCS for Journalism and Media Arts,Charter,6,50,3,186
168,Basis DC PCS,3068,BASIS DC PCS,Charter,2,88.42,5,187
169,Creative Minds International PCS,3069,Creative Minds International PCS,Charter,5,40.76,3,188
170,DC Scholars PCS,3070,DC Scholars PCS,Charter,7,24.97,2,189
129,KIPP DC PCS,3071,KIPP DC - Heights Academy PCS,Charter,8,66.23,4,90
